Run_Accession_Number,Dataset_Info_Dataset_Accession_Number,Sample_Accession_Number,Organism,Organ,Developmental_Stage,Cell_Type,Sequencer,Protocol,Assay_Type,Library_Layout,Ontology_Term,Cell_Cycle_Phase
SRR2077088,GSE70245,SAMN03792848,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077089,GSE70245,SAMN03792849,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077090,GSE70245,SAMN03792850,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077091,GSE70245,SAMN03792851,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077092,GSE70245,SAMN03792852,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077093,GSE70245,SAMN03792853,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2
SRR2077094,GSE70245,SAMN03792854,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077095,GSE70245,SAMN03792855,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077096,GSE70245,SAMN03792856,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077097,GSE70245,SAMN03792857,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077098,GSE70245,SAMN03792858,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077099,GSE70245,SAMN03792859,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077100,GSE70245,SAMN03792860,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077101,GSE70245,SAMN03792861,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077102,GSE70245,SAMN03792862,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077103,GSE70245,SAMN03792863,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077104,GSE70245,SAMN03792864,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077105,GSE70245,SAMN03792865,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077106,GSE70245,SAMN03792867,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077107,GSE70245,SAMN03792792,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077108,GSE70245,SAMN03792793,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077109,GSE70245,SAMN03792794,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077110,GSE70245,SAMN03792795,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077111,GSE70245,SAMN03792796,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077112,GSE70245,SAMN03792797,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077113,GSE70245,SAMN03792866,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077114,GSE70245,SAMN03792798,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077115,GSE70245,SAMN03792799,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077116,GSE70245,SAMN03792800,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077117,GSE70245,SAMN03792801,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077118,GSE70245,SAMN03792802,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077119,GSE70245,SAMN03792804,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077120,GSE70245,SAMN03792805,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077121,GSE70245,SAMN03792806,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077122,GSE70245,SAMN03792807,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077123,GSE70245,SAMN03792808,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077124,GSE70245,SAMN03792809,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077125,GSE70245,SAMN03792810,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077126,GSE70245,SAMN03792811,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077127,GSE70245,SAMN03792812,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077128,GSE70245,SAMN03792813,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077129,GSE70245,SAMN03792814,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077130,GSE70245,SAMN03792815,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077131,GSE70245,SAMN03792816,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077132,GSE70245,SAMN03792817,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077133,GSE70245,SAMN03792818,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077134,GSE70245,SAMN03792819,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077135,GSE70245,SAMN03792820,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077136,GSE70245,SAMN03792821,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077137,GSE70245,SAMN03792822,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077138,GSE70245,SAMN03792823,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077139,GSE70245,SAMN03792824,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077140,GSE70245,SAMN03792825,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077141,GSE70245,SAMN03792826,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077142,GSE70245,SAMN03792827,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077143,GSE70245,SAMN03792828,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077144,GSE70245,SAMN03792829,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077145,GSE70245,SAMN03792830,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077146,GSE70245,SAMN03792831,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077147,GSE70245,SAMN03792832,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077148,GSE70245,SAMN03792833,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077149,GSE70245,SAMN03792834,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077150,GSE70245,SAMN03792835,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077151,GSE70245,SAMN03792836,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077152,GSE70245,SAMN03792837,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077153,GSE70245,SAMN03792838,"Mus musculus","Bone marrow",Adult,"Myeloid progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077154,GSE70245,SAMN03792955,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077155,GSE70245,SAMN03792956,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077156,GSE70245,SAMN03792957,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077157,GSE70245,SAMN03792958,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077158,GSE70245,SAMN03792959,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077159,GSE70245,SAMN03792960,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077160,GSE70245,SAMN03792961,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077161,GSE70245,SAMN03792962,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077162,GSE70245,SAMN03792963,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077163,GSE70245,SAMN03792964,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077164,GSE70245,SAMN03792965,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077165,GSE70245,SAMN03792896,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077166,GSE70245,SAMN03792897,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077167,GSE70245,SAMN03792898,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077168,GSE70245,SAMN03792899,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077169,GSE70245,SAMN03792900,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077170,GSE70245,SAMN03792901,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077171,GSE70245,SAMN03792902,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077172,GSE70245,SAMN03792903,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077173,GSE70245,SAMN03792904,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077174,GSE70245,SAMN03792905,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077175,GSE70245,SAMN03792906,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077176,GSE70245,SAMN03792907,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077177,GSE70245,SAMN03792908,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077178,GSE70245,SAMN03792968,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077179,GSE70245,SAMN03792909,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077180,GSE70245,SAMN03792910,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077181,GSE70245,SAMN03792911,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2
SRR2077182,GSE70245,SAMN03792912,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077183,GSE70245,SAMN03792913,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077184,GSE70245,SAMN03792914,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077185,GSE70245,SAMN03792915,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077186,GSE70245,SAMN03792916,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077187,GSE70245,SAMN03792917,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077188,GSE70245,SAMN03792919,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077189,GSE70245,SAMN03792920,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077190,GSE70245,SAMN03792921,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077191,GSE70245,SAMN03792922,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077192,GSE70245,SAMN03792918,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077193,GSE70245,SAMN03792923,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077194,GSE70245,SAMN03792924,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077195,GSE70245,SAMN03792925,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077196,GSE70245,SAMN03792952,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077197,GSE70245,SAMN03792953,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077198,GSE70245,SAMN03792954,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077199,GSE70245,SAMN03792926,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077200,GSE70245,SAMN03792927,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077201,GSE70245,SAMN03792928,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077202,GSE70245,SAMN03792929,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077203,GSE70245,SAMN03792930,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077204,GSE70245,SAMN03792931,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077205,GSE70245,SAMN03792932,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2
SRR2077206,GSE70245,SAMN03792933,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G1.S
SRR2077207,GSE70245,SAMN03792934,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077208,GSE70245,SAMN03792935,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077209,GSE70245,SAMN03792936,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077210,GSE70245,SAMN03792937,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077211,GSE70245,SAMN03792938,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077212,GSE70245,SAMN03792939,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077213,GSE70245,SAMN03792940,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077214,GSE70245,SAMN03792941,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077215,GSE70245,SAMN03792942,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
SRR2077216,GSE70245,SAMN03792943,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",S
SRR2077217,GSE70245,SAMN03792944,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",M.G1
SRR2077218,GSE70245,SAMN03792945,"Mus musculus","Bone marrow",Adult,"LSK Stem cells","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"CL:0000763 [Myeloid cell]",G2.M
