Run_Accession_Number,Dataset_Info_Dataset_Accession_Number,Sample_Accession_Number,Organism,Organ,Developmental_Stage,Cell_Type,Sequencer,Protocol,Assay_Type,Library_Layout,Ontology_Term,Cell_Cycle_Phase
SRR2079155,GSE70245,SAMN03792330,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079156,GSE70245,SAMN03792331,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079157,GSE70245,SAMN03792332,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2.M
SRR2079158,GSE70245,SAMN03792333,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079159,GSE70245,SAMN03792334,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079160,GSE70245,SAMN03792335,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",S
SRR2079161,GSE70245,SAMN03792336,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2.M
SRR2079162,GSE70245,SAMN03792338,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR2079163,GSE70245,SAMN03792339,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G1.S
SRR2079164,GSE70245,SAMN03792340,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079165,GSE70245,SAMN03792341,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079166,GSE70245,SAMN03792342,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079167,GSE70245,SAMN03792343,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079168,GSE70245,SAMN03792344,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079169,GSE70245,SAMN03792345,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079170,GSE70245,SAMN03792346,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079171,GSE70245,SAMN03792347,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079172,GSE70245,SAMN03792348,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",G2
SRR2079173,GSE70245,SAMN03792349,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
SRR2079174,GSE70245,SAMN03792350,"Mus musculus","Bone marrow",Adult,"CMP Progenitors","Illumina HiSeq 2500",SMARTer,RNA-Seq,Paired-end,"OMIT:0026108 [Granulocyte-Macrophage Progenitor Cells]",M.G1
